"","Curved","WidthOfHallway","Obstacles","WidthOfExits","NumberOfExits","average_casualty_rate","average_casualties","total_cases","Straight"
"1",1,2,"Obstacles",3,4,0.086833792484,10.944,250,"Curved"
"2",1,2,"Obstacles",2,4,0.087511538312,10.84,250,"Curved"
"3",1,2,"Obstacles",1,4,0.091975066832,11.412,250,"Curved"
"4",0,2,"Obstacles",2,4,0.118435006032,14.688,250,"Straight"
"5",0,6,"No Obstacles",1,4,0.120747997152,14.82,250,"Straight"
"6",0,4,"Obstacles",3,4,0.121329564312,14.984,250,"Straight"
"7",1,6,"No Obstacles",3,4,0.121353950932,14.84,250,"Curved"
"8",0,6,"No Obstacles",2,4,0.121595834208,15.016,250,"Straight"
"9",0,4,"Obstacles",1,4,0.122099678772,15.256,250,"Straight"
"10",0,2,"Obstacles",1,4,0.122410149548,15.144,250,"Straight"
"11",0,4,"No Obstacles",3,4,0.122752699332,15.316,250,"Straight"
"12",0,6,"No Obstacles",3,4,0.123312351792,15.096,250,"Straight"
"13",1,2,"No Obstacles",3,4,0.124024235548,15.46,250,"Curved"
"14",0,2,"No Obstacles",1,4,0.124025048256,15.676,250,"Straight"
"15",1,6,"No Obstacles",1,4,0.124605173496,15.784,250,"Curved"
"16",1,6,"Obstacles",2,4,0.124931727024,15.464,250,"Curved"
"17",0,4,"No Obstacles",2,4,0.12501605774,15.308,250,"Straight"
"18",1,6,"No Obstacles",2,4,0.126211510772,15.5,250,"Curved"
"19",1,2,"No Obstacles",2,4,0.126402787008,15.904,250,"Curved"
"20",0,2,"No Obstacles",3,4,0.126757010736,15.688,250,"Straight"
"21",0,4,"Obstacles",2,4,0.126850905252,15.52,250,"Straight"
"22",0,4,"No Obstacles",1,4,0.127209338208,16.008,250,"Straight"
"23",1,6,"Obstacles",3,4,0.127610161808,15.876,250,"Curved"
"24",1,4,"Obstacles",3,4,0.128765872284,16.132,250,"Curved"
"25",1,2,"No Obstacles",1,4,0.12914169866,16.268,250,"Curved"
"26",1,4,"Obstacles",2,4,0.129690475656,16.248,250,"Curved"
"27",1,6,"Obstacles",1,4,0.13074709482,16.452,250,"Curved"
"28",0,6,"Obstacles",3,4,0.13080543546,16.064,250,"Straight"
"29",0,2,"No Obstacles",2,4,0.130818838244,16.148,250,"Straight"
"30",1,4,"Obstacles",1,4,0.131045928652,16.36,250,"Curved"
"31",1,4,"No Obstacles",1,4,0.131194265816,16.448,250,"Curved"
"32",1,4,"No Obstacles",2,4,0.132183661144,16.42,250,"Curved"
"33",1,4,"No Obstacles",3,4,0.133266924748,16.784,250,"Curved"
"34",0,6,"Obstacles",1,4,0.13347080752,16.792,250,"Straight"
"35",0,6,"Obstacles",2,4,0.133997548168,16.76,250,"Straight"
"36",0,2,"Obstacles",3,4,0.13502790144,17.156,250,"Straight"
"37",1,2,"Obstacles",3,3,0.142434000996,17.916,250,"Curved"
"38",1,2,"Obstacles",2,3,0.144718426996,17.936,250,"Curved"
"39",1,2,"Obstacles",1,3,0.145695933144,18.008,250,"Curved"
"40",1,2,"Obstacles",1,2,0.160418725892,19.912,250,"Curved"
"41",1,2,"Obstacles",3,2,0.167317696088,21.16,250,"Curved"
"42",1,2,"Obstacles",2,2,0.169568868492,21.048,250,"Curved"
"43",0,2,"Obstacles",3,3,0.171198728864,21.756,250,"Straight"
"44",0,2,"Obstacles",1,3,0.174616640804,21.636,250,"Straight"
"45",0,2,"Obstacles",3,2,0.18891596124,24.032,250,"Straight"
"46",0,2,"Obstacles",2,3,0.18970598864,23.676,250,"Straight"
"47",1,2,"Obstacles",3,1,0.191809644772,24.2,250,"Curved"
"48",0,2,"Obstacles",1,2,0.193593489864,24.04,250,"Straight"
"49",0,2,"Obstacles",2,2,0.19693999226,24.52,250,"Straight"
"50",1,4,"Obstacles",3,3,0.197929906444,24.812,250,"Curved"
"51",0,6,"Obstacles",2,3,0.199053227812,24.908,250,"Straight"
"52",0,6,"Obstacles",1,3,0.199095697396,25,250,"Straight"
"53",0,6,"Obstacles",3,3,0.202521194076,24.964,250,"Straight"
"54",1,2,"No Obstacles",2,3,0.204096703796,25.696,250,"Curved"
"55",1,6,"Obstacles",3,3,0.205355860808,25.58,250,"Curved"
"56",1,2,"Obstacles",2,1,0.20608745186,25.576,250,"Curved"
"57",1,2,"No Obstacles",3,3,0.207681622236,25.972,250,"Curved"
"58",1,6,"Obstacles",2,3,0.208251275968,25.72,250,"Curved"
"59",1,6,"Obstacles",1,3,0.208570333876,26.228,250,"Curved"
"60",1,2,"Obstacles",1,1,0.209871813748,26.096,250,"Curved"
"61",1,4,"Obstacles",2,3,0.210227735516,26.392,250,"Curved"
"62",0,4,"No Obstacles",3,3,0.211186705924,26.348,250,"Straight"
"63",1,4,"No Obstacles",1,3,0.212133057556,26.624,250,"Curved"
"64",0,6,"No Obstacles",2,3,0.215094082788,26.552,250,"Straight"
"65",1,6,"Obstacles",2,2,0.216776783692,26.888,250,"Curved"
"66",1,4,"No Obstacles",2,3,0.216859286772,26.956,250,"Curved"
"67",1,4,"Obstacles",1,3,0.2172167231,27.112,250,"Curved"
"68",1,2,"No Obstacles",1,3,0.218708295532,27.524,250,"Curved"
"69",0,2,"No Obstacles",2,3,0.220957755332,27.248,250,"Straight"
"70",0,6,"No Obstacles",3,3,0.221090769204,27.096,250,"Straight"
"71",0,4,"Obstacles",2,3,0.222490626108,27.288,250,"Straight"
"72",0,4,"Obstacles",1,3,0.222953211224,27.964,250,"Straight"
"73",0,4,"Obstacles",3,3,0.22426783298,27.616,250,"Straight"
"74",0,6,"No Obstacles",1,3,0.225101588976,27.652,250,"Straight"
"75",1,6,"No Obstacles",3,3,0.225841265988,27.604,250,"Curved"
"76",1,4,"No Obstacles",3,3,0.227603367856,28.644,250,"Curved"
"77",0,4,"No Obstacles",1,3,0.228588227032,28.764,250,"Straight"
"78",0,2,"No Obstacles",1,3,0.233224591356,29.496,250,"Straight"
"79",1,6,"No Obstacles",2,3,0.233236299716,28.58,250,"Curved"
"80",1,6,"Obstacles",3,2,0.237349395064,29.496,250,"Curved"
"81",1,2,"No Obstacles",3,2,0.238627011184,29.74,250,"Curved"
"82",0,6,"Obstacles",1,2,0.239746354996,30.252,250,"Straight"
"83",1,4,"Obstacles",2,2,0.240627299008,30.228,250,"Curved"
"84",0,6,"Obstacles",3,2,0.242007232396,29.728,250,"Straight"
"85",1,2,"No Obstacles",2,2,0.24282334304,30.488,250,"Curved"
"86",0,2,"No Obstacles",3,3,0.243243824392,30.06,250,"Straight"
"87",0,4,"No Obstacles",2,3,0.243593976056,29.808,250,"Straight"
"88",0,4,"Obstacles",1,2,0.246346548676,30.84,250,"Straight"
"89",0,6,"No Obstacles",2,2,0.246599072056,30.504,250,"Straight"
"90",1,6,"Obstacles",1,2,0.24717080938,31.112,250,"Curved"
"91",1,4,"Obstacles",1,2,0.248699186752,31.144,250,"Curved"
"92",0,4,"Obstacles",3,2,0.249342496644,30.748,250,"Straight"
"93",0,2,"Obstacles",3,1,0.249686359536,31.748,250,"Straight"
"94",1,4,"Obstacles",3,2,0.250413460244,31.456,250,"Curved"
"95",1,6,"No Obstacles",1,3,0.252181450656,32.08,250,"Curved"
"96",1,2,"No Obstacles",1,2,0.252661821264,31.816,250,"Curved"
"97",0,4,"No Obstacles",3,2,0.252896361204,31.592,250,"Straight"
"98",0,6,"Obstacles",2,2,0.253380760108,31.7,250,"Straight"
"99",0,4,"No Obstacles",1,2,0.253509153748,31.88,250,"Straight"
"100",0,4,"Obstacles",2,2,0.255047675032,31.356,250,"Straight"
"101",0,4,"No Obstacles",2,2,0.25629010234,31.432,250,"Straight"
"102",0,2,"Obstacles",1,1,0.25724839406,31.776,250,"Straight"
"103",0,6,"No Obstacles",1,2,0.259020419516,31.784,250,"Straight"
"104",0,6,"No Obstacles",3,2,0.260166695208,31.896,250,"Straight"
"105",1,4,"No Obstacles",3,2,0.261116492092,32.844,250,"Curved"
"106",1,4,"No Obstacles",2,2,0.262758376956,32.736,250,"Curved"
"107",1,6,"Obstacles",2,1,0.265980210304,32.94,250,"Curved"
"108",0,2,"No Obstacles",1,2,0.266087036372,33.692,250,"Straight"
"109",0,2,"No Obstacles",3,2,0.268148086188,33.268,250,"Straight"
"110",1,4,"Obstacles",1,1,0.270867853892,33.792,250,"Curved"
"111",1,6,"No Obstacles",2,2,0.271339504172,33.392,250,"Curved"
"112",1,6,"Obstacles",3,1,0.275179278152,34.208,250,"Curved"
"113",1,6,"No Obstacles",3,2,0.275516514892,33.556,250,"Curved"
"114",1,2,"No Obstacles",1,1,0.27561563072,34.68,250,"Curved"
"115",0,6,"Obstacles",2,1,0.275816470524,34.432,250,"Straight"
"116",0,6,"Obstacles",3,1,0.2780829506,34.216,250,"Straight"
"117",1,4,"No Obstacles",1,2,0.278878664512,34.972,250,"Curved"
"118",1,6,"No Obstacles",1,2,0.280088244568,35.488,250,"Curved"
"119",0,2,"Obstacles",2,1,0.280090848992,34.832,250,"Straight"
"120",0,2,"No Obstacles",2,2,0.280468697756,34.748,250,"Straight"
"121",1,6,"Obstacles",1,1,0.282656676448,35.58,250,"Curved"
"122",0,4,"Obstacles",1,1,0.287590675784,36.124,250,"Straight"
"123",0,6,"No Obstacles",1,1,0.2917766895,35.836,250,"Straight"
"124",1,4,"Obstacles",2,1,0.292338040212,36.712,250,"Curved"
"125",0,4,"No Obstacles",1,1,0.29259761172,36.832,250,"Straight"
"126",1,4,"Obstacles",3,1,0.292775625992,36.732,250,"Curved"
"127",1,2,"No Obstacles",2,1,0.293926288768,36.876,250,"Curved"
"128",0,4,"No Obstacles",3,1,0.295962645496,36.884,250,"Straight"
"129",1,2,"No Obstacles",3,1,0.297251083288,37.004,250,"Curved"
"130",0,6,"Obstacles",1,1,0.299323569148,37.452,250,"Straight"
"131",1,4,"No Obstacles",2,1,0.301122346656,37.428,250,"Curved"
"132",1,4,"No Obstacles",1,1,0.303700969572,38.088,250,"Curved"
"133",0,4,"No Obstacles",2,1,0.30441991006,37.332,250,"Straight"
"134",0,6,"No Obstacles",2,1,0.305764733144,37.684,250,"Straight"
"135",1,4,"No Obstacles",3,1,0.308030457192,38.796,250,"Curved"
"136",1,6,"No Obstacles",1,1,0.308821268792,39.056,250,"Curved"
"137",0,4,"Obstacles",3,1,0.309762608528,38.148,250,"Straight"
"138",1,6,"No Obstacles",3,1,0.312244908544,38.26,250,"Curved"
"139",1,6,"No Obstacles",2,1,0.312487423916,38.368,250,"Curved"
"140",0,4,"Obstacles",2,1,0.31412551318,38.472,250,"Straight"
"141",0,2,"No Obstacles",2,1,0.317431800256,39.196,250,"Straight"
"142",0,6,"No Obstacles",3,1,0.323459949264,39.66,250,"Straight"
"143",0,2,"No Obstacles",3,1,0.328179261996,40.472,250,"Straight"
"144",0,2,"No Obstacles",1,1,0.330531248512,41.828,250,"Straight"
